basin,cnty_abbr,name,prelim_yn,county_name,site,state,latitude,longitude,aqs_id,qa_id,district,met_id,elevation,address,city,zip_code,pm25hourly2017obs 
SFB,ALA,Berkeley-Aquatic Park                   ,Y,Alameda,3828,CA,37.864731,-122.302703,60010013,7436,BA ,,3,Aquatic Park                                                ,Berkeley                        ,94710,7147
SFB,ALA,Livermore-793 Rincon Avenue,Y,Alameda,3490,CA,37.68,-121.78,60010007,60344,BA,LVK01,145,793 Rincon Avenue,Livermore                       ,94550,7198
SFB,ALA,Oakland-9925 International Blvd,Y,Alameda,3247,CA,37.74306,-122.16994,60010009,60347,BA,OAK05,11,9925 International Blvd,Oakland                         ,94607,7437
SFB,ALA,Oakland-Laney College                   ,Y,Alameda,3803,CA,37.793635,-122.263356,60010012,60351,BA,,4,Laney College Eighth St parking lot Aisle J                 ,Oakland                         ,94607,7401
SFB,ALA,Oakland-West,Y,Alameda,3742,CA,37.8148,-122.28236,60010011,60349,BA,,3,1100 21st Street,Oakland                         ,94607,7087
SFB,CC,Concord-2975 Treat Blvd,Y,Contra Costa,2831,CA,37.93917,-122.0247,60130002,7448,BA,CCR01,8,2975 Treat Boulevard,Concord                         ,94518,7349
SFB,CC,San Pablo-Rumrill Blvd,Y,Contra Costa,3668,CA,37.959531,-122.357425,60131004,7447,BA,,6,1865D Rumrill Blvd,San Pablo                       ,94806,7328
SFB,MRN,San Rafael,Y,Marin,2622,CA,37.972108,-122.518411,60410001,21451,BA,SRF01,3,534 4th Street,San Rafael                      ,94901,7465
SFB,NAP,Napa-Jefferson Avenue,Y,Napa,2655,CA,38.31139,-122.2942,60550003,28783,BA,NAP02,7,2552 Jefferson Avenue,Napa                            ,94558,7411
SFB,SF,San Francisco-Arkansas Street,Y,San Francisco,2373,CA,37.766109,-122.397781,60750005,90306,BA,SFO02,5,10 Arkansas Street,San Francisco,94107,7366
SFB,SM,Redwood City,Y,San Mateo,2125,CA,37.483056,-122.203611,60811001,41541,BA,RWD01,3,897 Barron Avenue,Redwood City                    ,94063,7145
SFB,SCL,Gilroy-9th Street,Y,Santa Clara,2320,CA,36.999722,-121.575279,60850002,43389,BA,GIL01,62,9th and Princeville,Gilroy,95020,6955
SFB,SCL,San Jose-Jackson Street,Y,Santa Clara,3661,CA,37.348333,-121.895,60850005,43383,BA,,9,156B Jackson Street,San Jose                        ,95112,6975
SFB,SCL,San Jose-Knox Avenue                    ,Y,Santa Clara,3810,CA,37.338202,-121.849892,60850006,43385,BA,,30.9,1007 Knox Avenue                                            ,San Jose                        ,95122,7310
SFB,SOL,Vallejo-304 Tuolumne Street,Y,Solano,2410,CA,38.102501,-122.238052,60950004,48879,BA,VAL01,6,304 Tuolumne Street,Vallejo,94590,9563
SFB,SON,Sebastopol-103 Morris Street            ,Y,Sonoma,3804,CA,38.403765,-122.818294,60970004,49891,BA,,78,103 Morris Street                                           ,Sebastopol                      ,95472,7504
 ,,,,,,,,,,,,,,,,,
 Quality Flag Definition ,,,,,,,,,,,,,,,,,
0, Valid observation ,,,,,,,,,,,,,,,,
1, The data supplier marked the observation as suspect - but it is still valid ,,,,,,,,,,,,,,,,
2, The automated qa routine judged the observation questionable and invalid ,,,,,,,,,,,,,,,,
3, The automated qa routine judged the observation invalid  ,,,,,,,,,,,,,,,,
4, The data supplier flagged the observation invalid  ,,,,,,,,,,,,,,,,
5, The observation was flagged invalid manually  ,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Data extracted from mrgd database: ,,,,,,,,,,,,,,,,,
15-Nov, 2017 at 09:27:18,,,,,,,,,,,,,,,,
  ,,,,,,,,,,,,,,,,,
