name,sensor class,latitude,longitude
Berkeley-Aquatic Park,long_term,37.864731,-122.302703
Concord-2975 Treat Blvd,long_term,37.93917,-122.0247
Napa-Jefferson Avenue,long_term,38.31139,-122.2942
San Francisco-Arkansas Street,long_term,37.766109,-122.397781
San Rafael,long_term,37.972108,-122.518411
Sebastopol-103 Morris Street,long_term,38.403765,-122.818294
Vacaville-Ulatis Drive,long_term,38.356667,-121.95
Vallejo-304 Tuolumne Street,long_term,38.102501,-122.238052
ARB 14 Riebli,short_term,38.56635,-121.4944
ARB 18 Santa Ros Schaefer Elementary,short_term,38.47368,-122.745
ARB 21 Santa Rosa,short_term,38.43846,-122.6712
ARB 30 Rincon VMS,short_term,38.48071,-122.669
ARB 32 Cotati,short_term,38.33489,-122.6843
ARB 33 Santa Rosa Hidden Valley Elementary,short_term,38.47362,-122.701
ARB 37 Rincon VMS 2nd Monitor,short_term,38.48183,-122.671
ARB 38 Riebli,short_term,38.45737,-121.8195
ARB 1023 Napa,short_term,38.33506,-122.258
